position,candidate_top1,oracle_top1,kl,relative_nll_delta,max_logit_error
39,248046,248046,0.00006912,0.06085324,0.88420033
40,248046,248046,0.00000061,0.03788826,0.46223640
41,248046,248046,0.00001980,0.00509401,0.88287354
42,248046,248046,0.00037943,0.03688042,0.61426258
43,248046,248046,0.00129455,0.01719773,0.72979069
44,248046,248046,0.00824912,0.16834574,0.68127775
45,248046,248046,0.00000748,0.01743158,0.46823120
46,248046,248046,0.00000035,0.00530830,0.47019893
47,248046,248046,0.00001518,0.00301092,0.46119499
48,248046,248046,0.00014749,0.00933097,0.77381086
49,248046,248046,0.00591812,0.04406819,1.67506361
50,248046,248046,0.00001261,0.00357769,0.67454624
51,248046,248046,0.00000234,0.02053726,0.43393898
52,248046,248046,0.00000000,0.02029965,0.63076174
53,248046,248046,0.00000001,0.34744238,0.54496241
54,198,198,0.00000000,0.06175808,0.50006342
55,248045,248045,0.00000001,0.33987419,0.77448463
56,74455,74455,0.01311478,0.43242945,0.76671600
57,198,198,0.00005179,0.00677636,0.17961431
58,248068,248068,0.00000009,0.04523143,1.10265541
59,248046,248046,0.00308564,0.01656504,0.51588821
60,248046,248046,0.00238521,0.10312638,0.99833822
61,15,15,0.01042563,0.48879802,0.68769014
62,248046,248046,0.00000168,0.05427344,0.90408587
63,248046,248046,0.00429817,0.13938460,1.32310247
64,3172,3172,0.01232396,0.09252989,1.15083623
65,248046,248046,0.07376419,0.14299639,0.84135628
66,248046,248046,0.02049519,0.03878365,0.72308445
67,248046,248046,0.01435034,0.18499507,0.98633766
68,11960,11960,0.02921769,0.01573079,0.90904903
69,248046,248046,0.00520662,0.05621271,0.63175941
70,248046,248046,0.00926329,0.06515184,0.53172636
71,248046,248046,0.00075828,0.04259476,0.56763279
72,248046,248046,0.03780213,0.16527828,0.93700695
73,9150,9150,0.01295417,0.02264773,0.88853168
74,248046,248046,0.00182717,0.01920450,0.52794689
75,1330,248046,0.01511111,0.09298491,0.74078989
76,248046,248046,0.00340995,0.04488897,0.84366691
77,248046,248046,0.00077689,0.04007867,0.51432610
78,248046,248046,0.00002047,0.06251022,1.07702446
79,1330,1330,0.02489932,0.00037626,0.76759201
80,6355,6355,0.01840974,0.00491870,0.65787315
81,3728,3728,0.00523759,0.12860708,0.60359597
82,248046,248046,0.00221469,0.03538169,0.77722120
83,248046,248046,0.01053765,0.01643647,0.59343624
84,248046,248046,0.01379830,0.01597775,1.12905312
85,248046,248046,0.00480257,0.01297783,0.51410198
86,248046,248046,0.00251996,0.04208704,0.38953209
87,248046,248046,0.00114126,0.04246718,0.81151199
88,248046,45328,0.02538376,0.04568543,0.54192162
89,248046,248046,0.09028031,0.19644879,0.86597443
90,248046,248046,0.00000175,0.04523803,0.63057137
91,248046,248046,0.00644957,0.11152537,0.52347374
92,381,381,0.00452285,0.03514782,0.37721539
93,248046,264,0.04374645,0.18871949,0.70320511
94,20117,248046,0.00259739,0.02023893,0.47458583
95,248046,248046,0.00056176,0.00454215,0.52647400
96,248046,248046,0.00136991,0.05554102,0.63753676
97,248046,248046,0.00050871,0.01508895,0.23264170
98,248046,248046,0.00072316,0.03177209,0.69639015
99,248046,248046,0.00007510,0.01221450,0.87985611
100,9150,9150,0.00501046,0.01330565,0.74580860
101,248046,248046,0.00329755,0.01703057,0.60320902
102,248046,248046,0.00063062,0.01176325,0.38924718
103,248046,248046,0.01538091,0.03891639,1.22196102
104,248046,248046,0.00246659,0.00832397,1.12708139
105,248046,248046,0.00019945,0.04223187,0.91222239
106,248046,248046,0.00000002,1.43863257,0.84967434
107,198,198,0.00000000,0.13399797,0.55634189
108,248045,248045,0.00000012,0.23805770,0.51833844
109,846,846,0.00005640,0.02399103,0.87392426
110,198,198,0.15661958,3.82390628,1.66795850
111,248046,248046,0.00904892,0.01881696,2.10172248
112,1902,1902,0.05688359,0.35539641,1.77292728
113,449,449,0.02700903,0.26690869,1.07446432
114,16097,16097,0.00098230,0.01974979,0.79336560
115,14246,14246,0.00038683,0.04612058,0.77984476
116,17313,17313,0.00116894,0.09073528,0.58529115
117,248046,248046,0.00000027,0.00723757,0.79968619
118,248046,248046,0.00000064,0.02554457,0.77481890
119,10661,10661,0.00065343,0.18115878,1.30815887
120,16484,16484,0.00007078,0.04267420,0.73246980
121,248046,248046,0.00059355,0.04023569,1.12219226
122,1420,220,0.23042362,0.39208560,1.72550964
123,27204,27204,0.00014073,0.27727418,0.74925756
124,948,948,0.03710717,0.61217467,0.90548086
125,781,781,0.00041110,0.06168755,1.15693665
126,248046,248046,0.01408656,0.11959000,0.88134861
127,248046,248046,0.00600128,0.48466540,3.74297500
128,248046,248046,0.00000002,0.25998715,1.07101190
129,198,198,0.00000056,39.23082432,3.40842056
130,248045,248045,0.00000001,1.45063633,1.64871883
131,74455,74455,0.00000262,0.07509595,1.07628655
132,198,198,0.00129925,32.19573166,2.00558281
133,248046,248046,0.00131222,0.09099911,1.54848433
134,248046,248046,0.02094273,0.35936604,1.13404846
135,248046,248046,0.06888366,0.47849165,3.45920968
136,248046,248046,0.00000666,0.10850048,1.36764336
137,248046,248046,0.00000689,0.04172062,1.21674776
138,248046,248046,0.00729852,0.22727543,1.11611462
139,7873,7873,0.03703900,0.54379209,0.84296894
140,11125,11125,0.00149786,0.17728513,0.47580147
141,248046,248046,0.00003170,0.03428091,0.77007866
142,264,264,0.00017067,0.04034684,0.69471121
143,69892,69892,0.00917722,1.37420943,1.02909493
144,42903,42903,0.05852526,1.90887861,1.06165695
145,2393,2393,0.00795316,0.71971847,0.69210625
146,248046,248046,0.00047842,0.14912026,0.87482262
147,248046,248046,0.00013415,0.13834933,1.13156128
148,30800,30800,0.03350209,1.11707211,1.00211525
149,248046,248046,0.00049351,0.04516710,1.50569868
150,10229,10229,0.00029332,0.23739703,0.57575047
151,799,799,0.00005436,0.10872431,0.52636355
152,7652,7652,0.00000356,0.00181151,0.70521212
153,3728,3728,0.00145144,0.22076378,0.50646222
154,248046,248046,0.00078831,0.05180999,1.13429332
155,321,321,0.00145646,0.05365231,0.67925149
156,2873,2873,0.05212217,0.45543157,1.13508844
157,264,264,0.00000372,0.04883911,0.38360310
158,248046,248046,0.03649039,0.00936383,1.42150450
159,22188,22188,0.00011841,0.18655063,0.50835800
160,2923,248046,0.00282213,0.10295827,0.80140591
161,248046,248046,0.00000195,0.01301527,1.65376234
162,248046,248046,0.00000001,0.04430353,1.05822039
163,198,198,0.00000000,3.54506235,2.63701248
164,248045,248045,0.00000000,0.01956052,1.34099293
165,74455,74455,0.02545600,0.30263051,1.42028093
166,248068,248068,0.04340701,0.31890921,1.04470539
167,248068,248068,0.00000000,0.05124708,3.31007385
168,2404,2404,0.00417891,0.17722859,0.68268681
169,220,220,0.03343139,0.39174546,1.18867826
170,16,16,0.00765714,0.14718115,0.64192390
171,248046,248046,0.01543133,0.21398962,0.89845282
172,353,353,0.00640146,0.11746709,0.72139823
173,1000,1000,0.01846926,0.23520169,0.53455544
174,1118,1118,0.01410000,0.03189033,0.49357080
175,2426,2426,0.00859371,0.07623246,0.55978489
176,279,279,0.05256302,0.50896760,0.83062744
177,5638,5638,0.03668855,0.33318562,1.02243614
178,4954,4954,0.04304911,0.56718236,1.06558228
179,8097,248046,0.09839303,0.46926151,0.71398163
180,248046,248046,0.00208381,0.10106162,0.98394156
181,1179,1179,0.04752506,0.48326584,0.82534885
182,40729,40729,0.01690707,0.39870355,0.73135090
183,279,279,0.00498364,0.32973009,0.47001123
184,10993,10993,0.00189481,0.42212309,0.98920536
185,18583,18583,0.02960797,0.41799133,0.49558616
186,248046,248046,0.00244001,0.10983569,0.83576012
187,248046,248046,0.00000857,0.01741503,0.95880890
188,1822,1822,0.03006828,1.18215714,5.21962547
189,7652,7652,0.05203056,0.55637736,0.83880162
190,3728,3728,0.14757257,0.54877743,1.85672951
191,369,369,0.07554643,0.48792871,1.58232594
192,47733,47733,0.05412694,0.41579213,0.80614430
193,9722,248046,0.06957581,0.44334595,0.67406273
194,33625,33625,0.02016777,0.48332875,0.68913943
195,50921,50921,0.07463151,0.48620186,0.85580444
196,1345,248046,0.06101371,0.37910479,0.57390714
197,248046,248046,0.02644371,0.26749843,0.64386022
198,248046,248046,0.01135198,0.19733194,0.61267328
199,248046,248046,0.00387004,0.11649445,0.82275486
200,1220,1220,0.00911759,0.19222157,0.55115366
201,958,958,0.04750305,0.38830332,0.80487490
202,264,264,0.01493905,0.42605971,0.52857244
203,8097,8097,0.25125540,0.76402864,1.55322075
204,10756,248046,0.01807321,0.24843871,0.51476836
205,248046,248046,0.00006265,0.00433852,0.53641200
206,1931,1931,0.00009395,0.48736387,1.41724968
207,248046,248046,0.01106196,0.17531105,0.47659397
208,248046,248046,0.00798182,0.18440240,0.76280725
209,248046,248046,0.07634586,0.40282629,1.18486023
210,58740,58740,0.00515200,0.18440991,0.79180217
211,248046,248046,0.00026404,0.03461971,0.62983036
212,4906,4906,0.00004936,0.01633739,0.73080540
213,248046,248046,0.00101790,0.18941657,2.53711367
214,248046,248046,0.00983155,0.22342015,0.92155409
215,248046,248046,0.00000000,0.09528989,1.26826274
216,198,198,0.00000000,0.48138601,1.04122353
217,248045,248045,0.00000000,0.23058147,1.40019917
218,846,846,0.00027999,0.11543151,2.23027134
219,198,198,0.00027826,0.06914657,4.35778332
220,2523,2523,0.52346938,3.09260923,2.70169258
221,248046,248046,0.06106709,0.20154599,1.39558935
222,264,264,0.00003255,0.20029573,1.50558281
223,16097,16097,0.00203360,0.22494738,1.25224638
224,14246,14246,0.00039743,0.06971224,0.87493026
225,17313,248046,1.53648453,0.89803616,5.48208189
226,13,13,0.00019866,0.05959831,1.06668949
227,248046,248046,0.00001353,0.00906066,1.21167982
228,10661,10661,0.00069209,0.31901819,1.08220387
229,16484,16484,0.18992007,1.14829011,1.86459041
230,248046,248046,0.09150204,0.12867023,2.89071178
231,248046,248046,0.02202273,0.07176511,1.37768030
232,27204,27204,0.01192722,0.54905828,1.24486399
233,248046,248046,0.05776620,0.23837400,2.44294357
234,198,198,0.06538758,0.03706952,0.95684814
235,1727,1727,0.03837564,0.03643896,0.83537102
236,248046,248046,0.01046527,0.15839048,0.71694851
237,248046,248046,0.00000129,0.74679790,7.10932922
238,198,198,0.00000000,2.11377551,1.83006668
239,248045,248045,0.00000000,1.88249603,2.53054261
240,74455,74455,0.01010588,0.09892066,1.17713106
241,198,198,0.00000001,0.06174941,2.37129259
242,248046,18801,0.19702679,1.46727186,3.97632575
243,220,220,0.05639642,0.56832653,1.07656813
244,17,248046,0.51462855,0.50670685,2.14951277
245,248046,248046,0.02275917,0.33918745,1.47542000
246,248046,248046,0.09483479,0.44802272,1.08493423
247,248046,248046,0.01364473,0.03218014,2.15274286
248,7873,248046,0.28678215,0.56627320,1.77958870
249,11125,11125,0.10221374,0.12547880,1.64337254
250,248046,364,0.01217519,0.24668531,0.76613760
251,264,264,0.00063742,1.49251532,2.20799685
252,3074,3074,0.07645061,0.05780495,1.22541475
253,42903,42903,0.00282594,0.34327769,0.72991085
254,2393,2393,0.00980324,0.03424623,0.58136725
255,248046,248046,0.00008067,0.04064433,1.17573404
256,248046,248046,0.00001971,0.01939193,1.05000639
257,248046,248046,0.13440685,0.35524637,1.16223145
258,248046,248046,0.00001130,0.00426621,2.06221890
259,248046,248046,0.00254906,0.03601887,1.28226471
260,799,799,0.00617468,0.70245627,0.82657737
261,44212,7652,2.61034272,35.71763015,6.84067345
262,3728,3728,0.18495601,4.82924016,2.64866877
263,248046,248046,0.00320030,0.09535340,1.42993450
264,248046,248046,0.01542402,0.10254825,1.04826927
265,248046,248046,0.06729414,0.15285498,1.62419510
266,248046,248046,0.03284516,0.17934738,1.58788490
267,248046,248046,0.03172201,0.01918123,0.89945245
268,10263,10263,0.01316907,0.10037276,1.02708292
269,248046,248046,0.01073543,0.04528506,0.67868996
270,248046,248046,0.00000037,0.02427872,7.18985558
271,248046,248046,0.00000186,0.86183892,2.36057496
272,198,198,0.00000000,0.27244652,1.08432102
273,248045,248045,0.00000000,4.02226447,2.33204317
274,74455,74455,0.00157996,0.00461472,1.45693064
275,198,198,0.00096855,0.16252801,0.72223949
276,248068,248068,0.00000004,0.02149348,1.58505249
277,2404,2404,0.00010270,0.05464181,0.87995529
278,220,220,0.01558687,56.51898406,6.61267281
279,17,17,0.00238194,2.94992374,2.08761954
280,11,11,0.05778787,0.91036604,1.30886626
281,353,353,0.09073497,0.68112620,10.31971550
282,1000,1000,0.00239276,0.24240394,1.39541459
283,1118,1118,0.00747614,0.23090239,1.36000371
284,2426,2426,0.00137904,0.19119966,1.80315113
285,279,279,0.00001714,0.17982927,0.47185516
286,1788,1788,0.12553884,0.51966758,2.83191562
287,4954,4954,0.00137920,1.19990578,1.11763453
288,8097,8097,0.00207351,0.52987473,1.51735306
289,11,11,0.00003347,0.01859233,0.86011696
290,1179,1179,0.25897744,0.44543203,3.24272251
291,40729,40729,0.00000651,0.15639999,1.53077602
292,279,279,0.00001399,0.23270497,2.07821321
293,10993,10993,0.01834822,0.73190396,1.07289290
294,18583,18583,0.17424853,0.43551498,3.20500255
295,13,13,0.01501578,0.68934259,1.64321280
296,248046,248046,0.00100250,0.05440431,0.86858749
297,1822,1822,0.03423679,0.27459924,0.84227753
298,27204,27204,0.30750131,1.31340496,2.49756241
299,3728,3728,0.00236752,0.27613844,1.49048615
300,369,369,0.00012869,0.52550837,0.69329643
301,47733,47733,0.00335792,5.60918333,3.90511513
302,9722,9722,0.05314876,0.10767720,1.70683336
303,33625,33625,0.01128030,0.60367665,1.02276325
304,50921,50921,0.02640295,0.51597394,0.72825998
305,248046,248046,0.00577594,0.12534054,1.44330668
306,11125,26236,0.70862240,0.02981493,3.85116410
307,248046,248046,0.00573819,0.13430873,4.25863695
308,248046,248046,0.00000573,0.04943246,4.26006508
309,248046,248046,0.06749090,0.25220704,1.86508274
310,958,958,0.01305414,0.31923029,1.45430851
311,264,264,0.00027242,0.23574525,1.14283514
312,8097,8097,0.26315213,0.25489377,5.05848980
313,10756,10756,0.40481253,0.70114880,2.31380081
314,14751,14751,0.00079497,1.05747766,2.00008273
315,1931,1931,0.00050259,0.02609750,1.47595501
316,248046,8978,3.77021555,5.79968466,7.54041290
317,321,321,0.00049342,0.31340169,0.85327697
318,9150,248046,1.86426587,0.75431246,8.83643341
319,58740,58740,0.00584117,0.13469295,1.69739223
320,248046,248046,0.07834012,0.73561103,2.10276556
321,4906,4906,0.05727344,0.63172240,2.48992038
322,11125,11125,0.01437690,0.01433362,1.32235909
323,248046,248046,0.00326014,0.21881178,1.19468760
324,248046,248046,0.00000000,0.77950311,2.34781408
325,198,198,0.00000000,0.47510699,1.80892563
326,248045,248045,0.00000002,2.22570492,2.37966156
327,846,846,0.48190589,0.55938967,4.30565643
328,248046,248046,0.01493374,0.21041421,4.67652559
329,248068,248045,0.65091238,1.34475946,3.33755040
330,198,198,0.08003976,0.50604460,8.10699844
331,198,198,0.37162621,0.56120178,6.37639332
332,29551,33341,0.07266281,0.03090519,1.76848423
333,27204,27204,0.12833910,0.21660766,3.67383409
334,248046,248046,0.08908896,0.14038374,1.72461557
335,13,13,0.21673533,0.83925885,2.96770477
336,248046,248046,0.00068849,0.00700802,1.42242718
337,248046,248046,0.25006423,0.23851473,2.31966686
338,6326,6326,0.07136898,0.09963717,1.99537373
339,248046,248046,0.59057771,0.49553217,2.63843918
340,248046,248046,0.35797099,0.06789243,5.90438366
341,27204,27204,0.15924948,0.98323360,9.58235455
342,948,948,0.28453033,0.97938394,7.28859282
343,264,264,0.10622881,0.03552340,3.42973232
344,20961,20961,0.06734962,0.02932231,1.34840059
345,248046,248046,0.00032148,0.08353995,1.77283931
346,248046,248046,0.00020205,0.78352121,3.81098008
347,198,198,0.00000000,0.24434246,1.94868755
348,248045,248045,0.00000011,0.78398136,4.77117872
349,846,846,0.01557135,0.28954919,4.67183065
350,198,198,0.00013617,6.29677093,2.68611240
351,18801,18801,0.00889560,0.09322952,6.22002697
352,220,220,0.00014151,0.02870143,1.43164825
353,18,18,0.00271456,0.55616017,3.05374861
354,248046,248046,0.00216078,0.07907597,1.30839157
355,248046,248046,0.23018857,0.60882048,1.52562714
356,1330,248046,0.21465305,0.22292475,1.58255363
357,7873,7873,0.16880506,0.24209597,5.77367163
358,248046,248046,0.29446275,0.07020402,4.84466934
359,364,248046,0.37612464,0.69901005,2.30987906
360,264,264,0.01937086,0.05238520,1.50682878
361,248046,8024,0.14709445,0.06599699,2.76911974
362,364,321,0.04557668,0.01343836,1.16187000
363,248046,248046,0.29004572,1.62943937,8.19419193
364,248046,248046,0.00211963,0.13907401,2.80207729
365,248046,248046,0.00005680,0.47381135,14.23772621
366,30800,30800,0.00056240,0.00301968,1.57798767
367,248046,248046,0.00396126,0.12065606,1.73331594
368,248046,248046,0.10393641,0.04615240,3.12714958
369,799,799,0.09231010,0.69556068,1.24191475
370,5404,478,0.36098613,0.20492726,3.14431858
371,3728,3728,0.11609526,0.36831214,1.54221582
372,248046,248046,0.00075876,0.20769772,2.16064262
373,248046,248046,0.00002347,0.14713616,2.02323866
374,220,248046,0.92742234,0.17097117,2.85276365
375,248046,248046,0.25905195,0.21625008,8.49183655
376,248046,248046,0.18628610,0.05379855,2.93081260
377,248046,248046,0.02892243,0.28808677,4.22303104
378,248046,248046,0.00096646,0.14270187,1.40628958
379,248046,248046,0.00003045,0.08203857,2.18980598
380,248046,248046,0.00000178,11.48777750,8.11445904
381,198,198,0.00000000,0.17436030,1.07944393
382,248045,248045,0.00000000,0.85224478,3.46805143
383,74455,74455,0.00004442,0.24524439,3.18305945
384,198,198,0.24240566,5.75875469,1.65895653
385,248068,248068,0.00000099,0.12088193,3.09136391
386,2404,2404,0.00118724,0.43140570,0.86063397
387,220,220,0.00890556,11.38319818,4.03764391
388,18,18,0.02473884,7.02567271,4.72432566
389,11,11,0.06402456,1.15128606,1.79640865
390,353,353,0.02386683,0.30586499,1.64928341
391,1000,1000,0.00850940,0.49395641,2.04281425
392,1118,1118,0.00968205,0.20743637,1.51260352
393,2426,2426,0.00054194,0.37243470,2.13114500
394,279,279,0.00012409,0.70731128,1.97399497
395,5638,5638,0.94206004,0.67452915,6.65298080
396,4954,4954,0.00112401,0.43226302,3.67041278
397,8097,248046,0.64097148,0.73384694,3.26922226
398,11,11,0.00134049,0.96009264,1.47562313
399,1179,1179,0.64234961,6.59222317,5.18676901
400,40729,40729,0.02222517,0.56991179,3.56976819
401,279,279,0.03114701,2.89178827,2.15689564
402,10993,10993,0.48476168,11.32500751,4.75329018
403,18583,18583,0.00099945,0.11906585,1.02361917
404,248046,13,0.37824613,3.08374060,3.43852234
405,248046,248046,0.00031772,0.02059578,1.92415380
406,2972,2972,0.12604599,0.31464333,1.95600986
407,2404,2404,0.67599886,0.08696733,7.69267130
408,248046,220,1.05405510,0.27758065,6.02124977
409,369,369,0.00002134,0.64113655,0.77479196
410,47733,47733,0.00922526,5.09186175,2.37471008
411,1472,11946,3.47650359,0.02758478,9.33829403
412,33625,33625,0.29356989,1.01528723,2.49518013
413,50921,50921,0.10559829,0.60825674,1.98434734
414,248046,248046,0.00226183,0.03657265,1.98039722
415,70558,70558,0.08080193,0.18977059,2.39214969
416,248046,13,0.53993979,2.54336380,2.41081190
417,248046,248046,0.01210198,0.18340645,1.13126945
418,248046,248046,0.11571176,0.25343675,3.08350277
419,2830,264,3.11635136,1.98917282,9.21879768
420,264,264,0.00040945,4.10659455,4.13491726
421,2400,2400,0.02448045,0.05215994,1.62977266
422,10756,10756,0.01207832,1.31683087,2.60737324
423,14751,14751,0.15754544,0.94051908,6.06914949
424,1931,1931,0.00018678,1.47519649,3.02200460
425,8978,8978,0.01752570,0.20344167,1.31838703
426,248046,248046,0.32804183,1.42799249,3.86525917
427,248046,9150,4.90405815,2172.48912089,12.79232407
428,58740,1534,0.87791226,0.80367599,2.85698080
429,248046,248046,0.00153907,0.00380559,2.88286591
430,248046,248046,1.81384025,0.28938548,9.81626606
431,248046,248046,0.05074778,0.09529620,1.49287236
432,248046,248046,0.00132226,0.08071043,2.23519564
433,248046,248046,0.00000000,0.60956856,6.34097481
434,198,198,0.00000000,0.49097464,1.54128313
435,248045,248045,0.00000001,0.19185945,1.20027947
436,846,846,0.10114082,0.18729185,1.43741989
437,198,198,0.27350293,0.89598135,4.15381241
438,248045,248045,0.15394406,0.81815916,5.16429138
439,198,13,0.43419220,0.27134712,3.15250492
440,264,198,3.19941227,0.99006554,5.89273548
441,29551,5604,0.24078268,0.38270300,3.03519845
442,14246,14246,0.36281791,0.90188691,7.59516954
443,248046,5576,3.68982685,0.12779658,7.21430445
444,13,13,0.00065326,2.73344575,2.21828127
445,248046,248046,0.03413921,0.06541571,2.19847345
446,10661,10661,3.86094294,0.99425234,6.81773329
447,248046,6297,0.06974043,0.07314078,1.64484406
448,321,11,3.27554798,0.99414840,9.68894672
449,248046,248046,1.40816465,0.21621743,7.84499168
450,27204,27204,2.84266610,1.20772287,10.14686203
451,948,948,0.04920570,3.33318130,6.27995968
452,220,220,0.07792545,0.05889980,3.48202610
453,248046,248046,0.35117825,0.09875473,5.04890394
454,248046,248046,0.00058097,0.03949196,7.85665798
455,248046,248046,0.00027622,21.23827123,8.34345245
456,198,198,0.00000000,0.70917321,1.11728370
457,248045,248045,0.00000066,0.66816759,1.49525928
458,846,846,0.00202481,0.97145291,1.24217057
459,198,198,0.00000000,0.06024769,2.02863169
460,18801,18801,0.01401203,0.38032171,2.70549011
461,220,220,0.01089498,0.40982312,1.09830379
462,19,19,0.06315738,0.51121336,1.67266297
463,248046,248046,0.00001738,0.01231564,1.39639640
464,248046,248046,0.00000595,0.01049543,1.32072341
465,248046,248046,0.00188827,0.15770100,1.44155216
466,248046,248046,0.05860421,0.65471013,5.32291842
467,248046,248046,0.55827711,0.01781159,6.58332729
468,248046,248046,0.02443809,0.31338031,1.73234940
469,248046,264,1.00888659,1.72824303,3.03694677
470,248046,248046,0.25806002,0.04192522,3.36459327
471,248046,248046,0.05093918,0.30034842,1.41906929
472,248046,248046,0.40177318,0.18623310,3.01089621
473,248046,248046,0.00006356,0.14603119,1.31546879
474,248046,248046,0.00001212,0.02790280,10.20852280
475,248046,248046,0.67509046,2.11789192,2.82180595
476,248046,248046,0.00055551,0.11692242,1.89794016
477,248046,248046,0.00158941,0.00531510,1.88542736
478,799,799,0.00602098,0.93123393,0.83745289
479,248046,248046,0.27359929,0.13580653,2.85080147
480,248046,248046,0.04688640,0.04273690,1.20520043
481,248046,248046,0.00533235,0.59371816,12.38237858
482,248046,248046,0.00046671,0.05014529,1.24120092
483,248046,248046,0.00056006,0.09715940,1.45538139
484,248046,248046,0.01596137,0.13500453,4.01377296
485,248046,248046,0.08073685,0.16415359,4.59816313
486,22188,22188,0.00001189,0.14675024,2.95838594
487,248046,248046,0.00003491,0.05724124,1.68523598
488,248046,248046,0.00000220,0.05889629,7.38797569
489,248046,248046,0.00000005,0.30438551,11.34602737
490,198,198,0.00000000,0.02710685,1.31576395
491,248045,248045,0.00000000,0.16541469,0.97523093
492,74455,74455,0.02304851,0.48096490,0.92420101
493,198,198,0.00016189,0.19511706,2.91359711
494,248068,248068,0.00000035,0.00439657,1.83424568
495,2404,2404,0.00830207,0.33584193,0.91805696
496,220,220,0.00013733,0.08967434,2.82407141
497,19,19,0.05740751,1.84776470,4.07097816
498,248046,248046,0.07764683,0.40301458,1.22916031
499,248046,248046,0.00007604,0.00486492,1.69175529
500,1000,248046,0.22012492,0.57423869,4.52501059
501,1118,1118,0.00348231,0.23406275,0.89829397
502,2426,2426,0.00668300,0.19079226,0.92375582
503,279,279,0.01795536,2.41711194,2.81806183
504,15816,5638,0.52584080,0.28022977,4.14481115
505,4954,6297,1.21751932,0.03648729,7.28387260
506,8097,8097,0.00239183,0.02341013,3.31934500
507,11,11,0.00304451,0.28799248,1.05632877
508,1179,1179,0.41634063,12.06316939,9.03168392
509,10993,8754,0.27750584,0.06475323,3.24671459
510,279,279,0.08801615,0.82944922,8.92010117
511,1727,1727,0.09551622,0.40931091,3.81686425
512,18583,18583,0.22128654,2.76094889,3.84305429
513,13,13,0.00881503,0.30503045,1.50012398
514,248046,248046,0.00093561,0.15729315,4.53519678
515,248046,248046,1.46914246,0.34088767,8.61539745
516,248046,248046,0.21949713,0.05096679,1.65264678
517,3728,4131,0.25769321,0.46821786,4.44532776
518,369,369,0.00080027,0.67393771,1.14757156
519,248046,47733,1.81038235,101.86087772,9.22081375
520,18484,248046,0.42442987,0.28794062,3.70480585
521,9705,248046,0.22947510,0.25861247,3.52319241
522,50921,50921,0.32277501,1.28509086,2.99986553
523,248046,248046,0.01567342,0.17539392,2.66799378
524,26208,26208,0.24176944,0.18252640,3.98435235
525,248046,248046,0.01431888,0.22750598,3.53757524
526,248046,248046,0.11684962,2.12236918,12.62588501
527,248046,248046,0.02292102,0.06826047,3.86712313
528,958,248046,4.74104209,0.99845290,11.85282707
529,264,264,0.01277700,0.80994948,4.53724718
530,2400,2400,1.82169887,0.07937923,7.86210346
531,10756,10756,0.09440786,0.28968131,2.20885849
532,14751,14751,0.01866872,0.85471002,2.33863926
533,290,290,0.00841565,0.11864860,1.44151974
534,248046,248046,0.01957959,0.12755590,1.52671838
535,248046,248046,0.09413560,0.21632486,9.17567158
536,264,248046,1.51488803,0.39968808,6.48406029
537,2923,248046,2.09534615,0.43880022,10.91506481
538,248046,248046,0.00440482,0.14460927,6.46354198
539,248046,248046,0.03426569,0.05843906,3.86580992
540,248046,248046,0.00124703,0.12293418,3.94302416
541,248046,248046,0.00014081,0.04036270,1.96498656
542,248046,248046,0.00000000,0.01092690,1.96983290
543,198,198,0.00000000,0.51597090,2.09681320
